,0
0,230
1,230
2,230
3,230
4,230
5,230
6,230
7,230
8,230
9,230
10,230
11,230
12,230
13,230
14,230
15,230
16,230
17,230
18,230
19,230
20,230
21,230
22,230
23,230
24,230
25,230
26,230
27,230
28,230
29,230
30,230
31,230
32,230
33,230
34,230
35,230
36,230
37,230
38,230
39,230
40,230
41,230
42,230
43,230
44,230
45,230
46,230
47,230
48,230
49,230
50,230
51,230
52,230
53,230
54,230
55,230
56,230
57,230
58,230
59,230
60,230
61,230
62,230
63,230
64,230
65,230
66,230
67,230
68,230
69,230
70,230
71,230
72,230
73,230
74,230
75,230
76,230
77,230
78,230
79,230
80,230
81,230
82,230
83,230
84,230
85,230
86,230
87,230
88,230
89,230
90,230
91,230
92,230
93,230
94,230
95,230
96,230
97,230
98,230
99,230
100,230
101,230
102,230
103,230
104,230
105,230
106,230
107,230
108,230
109,230
110,230
111,230
112,230
113,230
114,230
115,230
116,230
117,230
118,230
119,230
120,230
121,230
122,230
123,230
124,230
125,230
126,230
127,230
128,230
129,230
130,230
131,230
132,230
133,230
134,230
135,230
136,230
137,230
138,230
139,230
140,230
141,230
142,230
143,230
144,230
145,230
146,230
147,230
148,230
149,230
150,230
151,230
152,230
153,230
154,230
155,230
156,230
157,230
158,230
159,230
160,230
161,230
162,230
163,230
164,230
165,230
166,230
167,230
168,230
169,230
170,230
171,230
172,230
173,230
174,230
175,230
176,230
177,230
178,230
179,230
180,230
181,230
182,230
183,230
184,230
185,230
186,230
187,230
188,230
189,230
190,230
191,230
192,230
193,230
194,230
195,230
196,230
197,230
198,230
199,230
200,230
201,230
202,230
203,230
204,230
205,230
206,230
207,230
208,230
209,230
210,230
211,230
212,230
213,230
214,230
215,230
216,230
217,230
218,230
219,230
220,230
221,230
222,230
223,230
224,230
225,230
226,230
227,230
228,230
229,230
230,230
231,230
232,230
233,230
234,230
235,230
236,230
237,230
238,230
239,230
240,230
241,230
242,230
243,230
244,230
245,230
246,230
247,230
248,230
249,230
250,230
251,230
252,230
253,230
254,230
255,230
256,230
257,230
258,230
259,230
260,230
261,230
262,230
263,230
264,230
265,230
266,230
267,230
268,230
269,230
270,230
271,230
272,230
273,230
274,230
275,230
276,230
277,230
278,230
279,230
280,230
281,230
282,230
283,230
284,230
285,230
286,230
287,230
288,230
289,230
290,230
291,230
292,230
293,230
294,230
295,230
296,230
297,230
298,230
299,230
300,230
301,230
302,230
303,230
304,230
305,230
306,230
307,230
308,230
309,230
310,230
311,230
312,230
313,230
314,230
315,230
316,230
317,230
318,230
319,230
320,230
321,230
322,230
323,230
324,230
325,230
326,230
327,230
328,230
329,230
330,230
331,230
332,230
333,230
334,230
335,230
336,230
337,230
338,230
339,230
340,230
341,230
342,230
343,230
344,230
345,230
346,230
347,230
348,230
349,230
350,230
351,230
352,230
353,230
354,230
355,230
356,230
357,230
358,230
359,230
360,230
361,230
362,230
363,230
364,230
365,230
366,230
367,230
368,230
369,230
370,230
371,230
372,230
373,230
374,230
375,230
376,230
377,230
378,230
379,230
380,230
381,230
382,230
383,230
384,230
385,230
386,230
387,230
388,230
389,230
390,230
391,230
392,230
393,230
394,230
395,230
396,230
397,230
398,230
399,230
400,230
401,230
402,230
403,230
404,230
405,230
406,230
407,230
408,230
409,230
410,230
411,230
412,230
413,230
414,230
415,230
416,230
417,230
418,230
419,230
420,230
421,230
422,230
423,230
424,230
425,230
426,230
427,230
428,230
429,230
430,230
431,230
432,230
433,230
434,230
435,230
436,230
437,230
438,230
439,230
440,230
441,230
442,230
443,230
444,230
445,230
446,230
447,230
448,230
449,230
450,230
451,230
452,230
453,230
454,230
455,230
456,230
457,230
458,230
459,230
460,230
461,230
462,230
463,230
464,230
465,230
466,230
467,230
468,230
469,230
470,230
471,230
472,230
473,230
474,230
475,230
476,230
477,230
478,230
479,230
480,230
481,230
482,230
483,230
484,230
485,230
486,230
487,230
488,230
489,230
490,230
491,230
492,230
493,230
494,230
495,230
496,230
497,230
498,230
499,230
500,230
501,230
502,230
503,230
504,230
505,230
506,230
507,230
508,230
509,230
510,230
511,230
512,230
513,230
514,230
515,230
516,230
517,230
518,230
519,230
520,230
521,230
522,230
523,230
524,230
525,230
526,230
527,230
528,230
529,230
530,230
531,230
532,230
533,230
534,230
535,230
536,230
537,230
538,230
539,230
540,230
541,230
542,230
543,230
544,230
545,230
546,230
547,230
548,230
549,230
550,230
551,230
552,230
553,230
554,230
555,230
556,230
557,230
558,230
559,230
560,230
561,230
562,230
563,230
564,230
565,230
566,230
567,230
568,230
569,230
570,230
571,230
572,230
573,230
574,230
575,230
576,230
577,230
578,230
579,230
580,230
581,230
582,230
583,230
584,230
585,230
586,230
587,230
588,230
589,230
590,230
591,230
592,230
593,230
594,230
595,230
596,230
597,230
598,230
599,230
600,230
